Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais circuitos neurais mediam a modulação da aten...,4.96,4.2,0.2,0.0,0.2,0.375,0.324,0.5,Os circuitos emoçes mediam a atenço seletiva por erroneos.,A amígdala e o córtex cingulado anterior.
Quais áreas cerebrais interagem nos processos de e...,10.92,2.22,0.171,0.061,0.171,0.286,0.195,0.5,"A área cerebrais interagem envolve a emoço e cognitiva, como o cerebellum, córtex crtex-frontal, cerebral cortex, and limbic system.","Córtex pré-frontal ventromedial, sistema de recompensa, sistema límbico, amígdala."
Quais regiões do cérebro ajudam a fortalecer a rep...,4.66,2.03,0.051,0.0,0.051,0.583,0.51,0.5,A regies do cérebro ajudam a fortalecer a representaço neural de estmulos emocionais durante a atividade fsica.,"Córtex visual primário, córtex temporal inferior, hipocampo, córtex órbito-frontal, córtex pré-frontal, lobo parietal."
Quais são as consequências da falta de atividade f...,11.99,2.16,0.148,0.038,0.148,0.778,0.622,0.0,"Consequências de falta de atividade fsica em adultos e crianças na Estados Unidos so afetaçes, como desenvolvimento e intensidade de movimento, aprendiza","Os adultos 74% são sedentários, crianças se tornam mais sedentárias, levando a níveis mais baixos de aptidão, doenças crônicas mais cedo."
Quais mudanças no cérebro são relacionadas à práti...,9.64,0.32,0.077,0.0,0.077,0.375,0.312,0.5,O cérebro está relacionado à prática regular de exerccios fsicos.,"Melhoria na plasticidade sináptica, aumento do fluxo sanguíneo cerebral, novas sinapses, fortalecimento das redes neurais, otimização da transmissão de informações, melhorias na atenção e memória. Modulação da atividade de neurotransmissores como a dopamina."
Quais são os benefícios da atividade física regula...,6.57,1.91,0.328,0.092,0.269,0.429,0.321,0.5,"O atividade fsica regular na sade cerebral é benefcios para a renovaço de ciências, a atençe e a resposta.","Aumenta a disponibilidade de dopamina, melhora a motivação e o entusiasmo para aprender, estimula a liberação de BDNF para crescimento de neurônios, melhora a aprendizagem, o humor, a memória e a atenção, e reduz a inflamação sistêmica e cerebral."
Qual é o benefício da prática regular de atividade...,3.3,6.19,0.485,0.194,0.364,0.5,0.442,0.5,A prática regular de atividade fsica é benefcio ao estresse crônico e inflamaço.,"O exercício regular pode reduzir o estresse crônico, inflamação e melhorar a função cognitiva."
Que fatores ambientais podem influenciar o neurode...,8.77,3.39,0.267,0.0,0.133,1.0,0.857,0.5,"Fatores ambientais, como ambientes emocionales, podem influenciar o neurodesenvolvimento.",Privação sensorial e enriquecimento ambiental.
Quais são os efeitos do enriquecimento ambiental n...,11.99,0.82,0.305,0.07,0.271,0.667,0.515,0.5,O enriquecimento ambiental ajuda a desenvolvimento cerebral com a renovaço de emoçes e a intensidade de seguridade.,"Enriquecimento ambiental melhora plasticidade cerebral, capacidade cognitiva, forma de sinapses, formação de dendríticas, vascularização, neurogênese. Ele aumenta neurotrofinas (NGF, NT-3, BDNF) e altera a ativação de neurônios colinérgicos, serotonina, receptores adrenérgicos."
Quais alterações na estrutura e conectividade neur...,3.3,16.27,0.387,0.345,0.387,0.6,0.531,0.5,Os alteraçes na estrutura e conectividade neural esto associadas à priváço sensorial em infantes.,"Alterações na estrutura e conectividade neuronal, incluindo distúrbios perceptivos, cognitivos e sociais crônicos."
Qual é a importância de estudar o enriquecimento a...,6.52,1.84,0.187,0.0,0.125,0.625,0.59,0.5,Estudar o enriquecimento ambiental e privaço sensorial na neurociência.,"É essencial para desenvolver terapias que melhorem a saúde e o bem-estar, abordando o impacto no cérebro e comportamento."
Quais alterações moleculares são associadas ao nat...,11.27,1.25,0.053,0.0,0.053,0.714,0.67,0.5,Os alteraçes moleculares so associadas ao natural de envelhecimento cerebral.,"Senescência neuronal, exaustão de células-tronco neurais, aumento da apoptose, agregação de proteínas, disfunção mitocondrial, acumulação de danos no DNA."
Qual é a faixa percentual de prevalência do declín...,23.48,2.45,0.0,0.0,0.0,0.667,0.606,1.0,A faixa percentual de prevalência do declnio cognitivo em indivduos com mais de 60 anos.,Entre 6.7% e 25.2%.
Qual é a taxa anual de evolução do declínio cognit...,2.08,24.79,0.744,0.537,0.698,0.545,0.46,0.0,"A taxa anual de evoluço do declnio cognitivo é uma evidência emocionada, indicando a probabilidade de desenvolvimento da demênCIA.","A taxa anual de evolução do declínio cognitivo é aproximadamente 5-17%, indicando uma alta probabilidade de desenvolvimento da demência."
Quais biomarcadores são utilizados para identifica...,27.03,1.65,0.047,0.0,0.047,0.714,0.635,0.5,Os biomarcadores utilizados para identificar a possibilidade de progresso da demência so engenheiros.,"Proteínas beta-amiloides, genótipo APOE4, níveis anormais de proteína tau no líquido cefalorraquidiano e depósitos de proteína tau nos lobo lateral temporal."
Quais são os principais sintomas da demência que a...,4.52,3.01,0.125,0.0,0.125,0.889,0.808,0.5,"Os principais sintomas da demência afetam a vida diária das pessoas idosas, como emoçes cognitivas.","Deterioração da função cognitiva, impacto nas atividades sociais, ocupacionais e domésticas."
Quais são os dois principais grupos de demências m...,4.28,5.25,0.318,0.19,0.318,0.556,0.505,0.5,Os dois principais grupos de demências mencionados so emoçes cognitivas.,Os dois principais grupos são demências neurodegenerativas (como a Doença de Alzheimer) e não degenerativas. Os exames neurológicos ajudam a avaliar demências e outros distúrbios.
Quais marcadores histológicos são associados com d...,26.2,0.58,0.0,0.0,0.0,0.8,0.8,0.5,Marcadores histológicos so associados com demências.,"Acumulação de proteínas, placas neuríticas, infusão intraneuronal, beta-amiloide, TAU, TDP-45, alfa-sinucleína, microtúbulos, MAPT, FUS."
Qual é uma desordem neurotóxica mencionada no text...,27.45,0.96,0.0,0.0,0.0,0.8,0.686,0.5,A desordem neurotóxica mencionada na texto é uma deficiência emocional.,"Hipotireoidismo, Desnutrição severa, Uremia crônica, Vitamina B12, Tiamina, Hepatopatias, Poluentes, Paratireoides, Síndromes Metabólicas, Encefalopatia de Wernicke."
Quais são as duas estratégias utilizadas para gere...,6.22,3.09,0.0,0.0,0.0,0.5,0.45,0.5,"Os estratégias emocionais, como a gerenciaço de agravo crônico da demência.",Tratamentos sintomáticos e intervenções.
Quais fatores podem controlar a transição do MCI p...,3.74,2.79,0.095,0.0,0.095,0.167,0.133,0.5,"Fatores cognitivas emocionales, neurônios adolescentes.",Identificar fatores controláveis pode ajudar na transição do MCI para a demência.
Qual artigo discute os efeitos da privação ambient...,4.59,6.88,0.516,0.276,0.452,0.4,0.382,0.5,O artigo em relaçes ambiental e transtornos psiquiátricos.,O artigo de Sahoo et al. (2022) aborda-effects cerebrais da privação ambiental e associações com transtornos psiquiátricos.
Quais são os aspectos-chave da atenção em termos d...,7.62,1.66,0.235,0.062,0.176,0.429,0.364,0.5,O atenço em termos de aditividade psicológica so aspectos-chaves.,"A atenção envolve a focalização consciente em uma tarefa principal, selecionando estímulos específicos para processamento, ignorando outros irrelevantes."
Qual é a sub-divisão do processo de desenvolviment...,8.37,3.09,0.16,0.087,0.16,0.429,0.351,0.5,A sub-diviso do processo de desenvolvimento da atenço mencionada é emoción cognitiva.,"Atenção seletiva, sustentada, atenção dividida e atenção alternada."
Qual é o conceito relacionado à capacidade de alte...,4.73,11.33,0.485,0.258,0.485,0.7,0.642,0.5,A conceiço é relacionado à capacidade de alternar atençe entre tarefas sem muita dificuldade.,A atenção alternada é a capacidade de alternar atenção entre tarefas que exigem diferentes níveis de foco.
Quais condições podem causar alterações em mais de...,19.17,4.25,0.111,0.0,0.111,0.0,0.0,0.5,"Condiçes emocionales, como afetaço de neurônios, traumatismo, enfamlias, assassinas.","Ansiedade, depressão, esquizofrenia, dislexia, TDAH."
Quais estruturas do cérebro foram identificadas co...,4.21,2.74,0.16,0.0,0.16,0.375,0.338,0.5,O cérebro está implicado na circuito atencional.,"O tálamo, córtex parietal, córtex límbico, região frontal e córtex temporal."
Qual é o pico de sensibilidade à luz e em que part...,7.16,10.66,0.345,0.222,0.345,0.667,0.556,0.5,"O pico de sensitividade à luz é uma dimenso em tempo, e a parte do espectro ocorre.","O pico de sensibilidade é entre 450-480 nm, na porção azul do espectro."
Quais mecanismos biológicos estão relacionados ao ...,6.47,1.61,0.154,0.0,0.154,0.625,0.562,0.5,O envelhecimento e afetam a atenço esto relacionados aos mecanismos biológicos.,"Inflamação sistêmica, senescência celular, senescência imunológica, disfunções mitocondriais, propensão fibrótica, envelhecimento hormonal, alterações na composição corporal."
Qual condição neurológica está relacionada a uma p...,6.73,4.02,0.417,0.182,0.333,0.538,0.519,0.5,A perda de memória e atenço leve com risco aumentado de doenças neurodegenerativas.,Envelhecimento com déficit de atenção leve.
Quais déficits cognitivos são comuns em indivíduos...,5.94,1.65,0.194,0.0,0.129,0.167,0.133,0.5,Difficultaçes cognitivas com TDAH so commones em indivduos.,"TDAH afeta funções executivas, atenção seletiva, memória de trabalho, temporização e tomada de decisão baseada em recompensas."
Quais fatores estão associados à redução no volume...,12.97,1.47,0.082,0.0,0.082,0.769,0.742,0.5,Fatores associados à reduço do volume de matéria cinzenta do córtex cingulado anterior em adultos com TDAH.,"Fatores biológicos como baixo peso ao nascer, tabagismo, exposição a drogas e álcool prenatal, distúrbios psiquiátricos maternos, disfunção familiar e baixo nível socioeconômico."
"Quais sintomas descreve o termo ""hiperfoco"" em ind...",4.08,4.02,0.5,0.0,0.3,0.571,0.486,0.5,"O termo ""hiperfoco"" em indivduos com TDAH descreve uma teoria cognitiva.",Hiperfoco na TDAH é intensa concentração em uma atividade.
Quais funções executivas são menos ativadas em ind...,12.57,3.12,0.0,0.0,0.0,0.571,0.508,0.5,Os funçes executivas so menos ativadas em indivduos com dislexia.,Atividade da rede de atenção dorsal e das redes de atenção ventral.
Quais são as características clínicas da dislexia ...,7.33,1.94,0.216,0.057,0.216,0.4,0.291,0.5,Dislexia em crianças caractersticas clnicas envolvem afetaço e affectaçes na vida.,"Deficits em percepção visual, processamento visual temporal, atenção, e possíveis condições oculares. Não todos apresentam prejuízos cognitivos."
Qual é a eficácia dos treinos de atenção visual em...,2.92,7.22,0.5,0.294,0.389,0.429,0.33,0.5,"A treinos de atenço visual é eficável para indivduos com dislexia, ajudando a desenvolvemento em aprendizagem.",Os treinos de atenção visual aumentam a velocidade e precisão da leitura em indivíduos com dislexia.
Quais são as funções temporais específicas da área...,5.08,4.53,0.474,0.278,0.368,0.4,0.333,0.5,"O área ventral tegmental controla a atenço e impulso, ajudando a temporalidade de pensamento.",Projeções temporais da Área Ventral Tegmental influenciam o controle de atenção e impulso no Núcleo Accumbens e Cortiço Prefrontal.
Quais biomarcadores são estudados em relação à cog...,2.03,6.29,0.4,0.111,0.4,0.625,0.54,0.5,Os biomarcadores estudados so envolvidos na relaço cognitivo e estresse entre os residentes.,Biomarcadores de cognição e estresse.
Quais são as implicações clínicas e tratativas de ...,7.11,2.66,0.35,0.105,0.25,0.4,0.318,0.5,Clnicas implicaçes e trativas de ADHD e Bipolar Disorder nas pesquisas envolvem a desensitizaço e melhor dos diagnósticos.,"Implicações incluem diagnóstico preciso e estratégias terapêuticas adequadas, considerando a interseção das condições."
"Quais áreas de estudo são abordadas no ""Neurociênc...",3.57,4.02,0.194,0.138,0.194,0.667,0.564,0.5,"Os áreas abordadas no ""Neurociência Cognitiva - Um Guia Neurocientfico para o Pensamento"" so associaçes cognitivas e psychiatricos.","Neurociência Cognitiva, neurobiologia, desenvolvimento do cérebro, ciências da idade."
Qual é o estado de estar consciente e como está re...,5.58,1.28,0.321,0.148,0.25,0.556,0.505,0.5,Estar consciente está relacionado ao nvel de alerta de um indivduo.,"O estado de estar consciente é um estado de lucidez e vigília que permite perceber e reagir aos estímulos, sendo um conhecimento de si mesmo e do ambiente, enquanto o nível de consciência está relacionado ao grau de alerta do indivíduo."
Quais são as principais características do nível d...,7.39,3.67,0.16,0.0,0.16,0.5,0.432,0.5,O nvel de consciência segundo o sistema RDOC é uma emoço cognitiva.,Facilita a interação da pessoa com o ambiente adequadamente ao contexto.
Quais são as duas fontes pelas quais o nível de co...,9.2,3.42,0.0,0.0,0.0,0.625,0.59,0.5,O nvel de consciência pode ser modulado nas fontes quais.,Estímulos internos (pensamento) e estímulos ambientais (externos).
Quais são as regiões do cérebro responsável pelo e...,38.72,1.72,0.062,0.0,0.062,0.417,0.327,0.5,"O regies do cérebro responsável pelo estado de viglia e consciência, incluindo a córtex crculo-frontal, a ponto frontal, and a porto temporal.",Tronco cerebral e diencéfalo.
Quais estruturas são consideradas significativas p...,14.47,4.46,0.174,0.0,0.174,0.5,0.472,0.5,A ativaço cortical e a funcionamento da consciência so consideradas.,"O SARA, tálamo, córtex parietal e pré-frontal direito."
Qual é o primeiro passo para avaliar o nível de co...,6.68,2.55,0.171,0.0,0.171,0.556,0.486,0.5,O primeiro passo para avaliar o nvel de consciência de um paciente em uma situaço de emergênce.,A avaliação primária e secundária (ABCDE) e a estabilização do paciente.
Qual é o escore mínimo na escala de coma de Glasgo...,6.68,5.31,0.4,0.053,0.3,0.75,0.675,0.5,O escore mnimo na escala de coma de Glasgow (ECG) para um paciente com consciência é através.,"O escore mínimo na ECG é 13, com 3 pontos atribuídos a cada um dos três parâmetros de resposta."
Quais os sinais clínicos observados na avaliação d...,25.0,3.01,0.296,0.0,0.222,0.571,0.44,0.5,"Os sinais clnicos observados na avaliaço do fundo de olho envolvem afetaçes, affectivas e ajuda.",Sinais de doenças como diabetes e hipertensão intracraniana.
Qual tipo de pupila está associado ao SARA e ao ac...,67.95,4.2,0.0,0.0,0.0,0.5,0.477,0.5,O SARA associa ao acometimento de estruturas anatômicas adjacentes.,Pupila uncal ou do III nervo craniano.
"Qual manobra indica lesão do tronco cerebral, mas ...",17.45,4.3,0.125,0.0,0.125,0.333,0.321,0.5,O manobra indica leso do tronco cerebral.,Manobra oculocefálica; pode agravar um trauma medular associado.
Qual tipo de lesão indica movimentos oculares alte...,11.44,3.39,0.0,0.0,0.0,0.556,0.486,0.5,O lenço avaliado indica movimentos oculares alterados na avizo de coma.,Lesões estruturais infratentoriais.
Quais são os padrões motores observados na pesquis...,14.24,3.46,0.143,0.0,0.143,0.667,0.533,0.5,"Os padres motores observados na pesquisa de reflexos, incluindo a motoridade e a sensaço.","Sinergismo postural flexor, sinergismo postural extensor, reflexos com simetria e sinais patológicos."
Qual é a função dos ritmos circadianos em relação ...,8.12,7.97,0.279,0.098,0.233,0.5,0.375,0.5,"Os ritmos circadianos ajudam a consciência, envolvem a reorganizaço de tempo e melhores, como a resposta em tempo.","Os ritmos circadianos regem as oscilações entre vigília e sono, essenciais para a homeostase e otimização da fisiologia do organismo."
Qual é a distinção entre alterações patológicas da...,6.42,5.65,0.474,0.111,0.263,0.286,0.214,0.5,"A alteraço patológica da consciência quantitativas é uma emoción de ajuda, enquanto também é una recompensa.","Alterações quantitativas referem-se ao rebaixamento do nível da consciência, variando de obnubilação a coma."
Quais são as características de um paciente em tor...,8.37,2.36,0.267,0.047,0.222,0.375,0.287,0.5,"A sonolência patológica leve envolve umas caractersticas, como emoçes cognitivas e associaço às fazes.","Tormentos apresentam sonolência, reatividade a estímulos intensos e lentidão eletroencefalográfica, enquanto sonolência leve mostra dificuldade de concentração sem sonolência evidente."
Quais são sinais dos movimentos oculares errantes ...,13.38,3.5,0.294,0.125,0.294,0.818,0.818,0.5,Os movimentos oculares errantes e outros reflexos anormais observados na pessoa em coma.,"Movimentos oculares errantes, nistagmo, transtornos do olhar conjugado, anormalidades dos reflexos oculocefálicos, oculovestibular e falta de reflexo de acomodação."
Que é um estado crepuscular no contexto da consciê...,7.0,12.4,0.263,0.111,0.211,0.5,0.35,0.5,"O estado crepuscular é um estádo emocional, enquanto no está como uma estaço cognitiva.","Um estado crepuscular é um estado patológico transitório com obnubilação leve da consciência, mas conservação da atividade motora coordenada."
Quais sintomas podem indicar uma crise dissociativ...,14.69,2.39,0.0,0.0,0.0,0.667,0.521,0.5,"A crise dissociativa aguda com caractersticas pseudoepilépticas podem indicar problemas emocionales, como afetaço de neurônios, compreenso e desenvolvimento.","Abalos musculares, convulsões, ansiedade intensa."
Quais são as referências citadas para a estratégia...,153.12,0.36,0.0,0.0,0.0,0.571,0.508,0.5,A estratégia defensiva inconsciente na psicopatologia é feitada em aço de ciências.,"Dalgalarrondo P., DeMyer WE., Robert B. Doroff, Martins HS, Neto RA, Velasco IT., Lent R., Sadock BJ, Sadock VA, Ruiz P., Plum & Posner."
Quais funções são atribuídas ao núcleo locus coeru...,8.37,4.75,0.357,0.077,0.214,0.429,0.321,0.5,"O ncleo locus coeruleus-norepinefrina funçes envolvem a modulaço do seudo, como a ajuda e a resposta.",Melhora o desempenho adaptativo e a função cognitiva.
Qual tópico aborda Berrios e Berlinck em suas obra...,23.12,3.75,0.0,0.0,0.0,0.625,0.562,0.5,Berrios e Berlinck abordam a tópico cognitivo nas obras citadas.,"Descriptive psychopathology, psicopatologia fundamental."
Qual região cerebral é fundamental para o desenvol...,11.62,1.8,0.0,0.0,0.0,0.75,0.708,0.5,O regio cerebral é fundamental para o desenvolvimento da competência social humana.,"Córtex pré-frontal medial, cingulado anterior, giro frontal inferior, sulco temporal, amígdala, hipocampo e ínsula."
Qual é a relação entre cognição social e comportam...,6.17,1.97,0.345,0.148,0.276,0.429,0.381,0.5,Cogniço social e comportamento humano so interconnectedes.,"A cognição social influencia nossas decisões de comportamento, refletindo
nosmos pensamentos sobre relações sociais e experiências passadas."
Quais são os benefícios da cognição social na vida...,6.68,2.87,0.4,0.083,0.24,0.375,0.303,0.5,"O cogniço social na vida adulta é benefciosa, como a ajuda e a resposta às emoçes.","Na vida adulta, ajuda na resolução de conflitos e tomada de decisões; no período senil, promove a saúde mental e ajuda a lidar com solidão e desafios emocionais."
Quais mudanças na cognição social ocorrem durante ...,5.12,1.84,0.15,0.0,0.15,0.667,0.606,0.5,A mudança na cogniço social ocorrem durante os primeiros anos de vida.,"As crianças desenvolvem uma compreensão avançada dos desejos, pensamentos e emoções dos outros, distinguindo-os de suas próprias sensações corporais."
Qual é o marco de desenvolvimento ao longo do prim...,7.87,4.32,0.258,0.138,0.194,0.909,0.909,0.5,O marco de desenvolvimento a longo do primeiro ano de vida indica a capacidade do bebê de seguir um objeto.,Seguir um objeto em 180 graus aos 2 meses de idade.
Quais são exemplos de marcos úteis para avaliar o ...,4.52,2.07,0.216,0.0,0.216,0.778,0.658,0.5,"Os exemplos de marcos teis para avaliar o desenvolvimento neuropsicomotor e da linguagem na criança so como a reorganizaço de lnguas, a modulaç","Desenvolvimento da teoria da mente, empatia, compreensão complexas de emoções."
Quais são os efeitos da socialização em desenvolvi...,13.17,2.05,0.108,0.0,0.054,0.667,0.487,0.5,"O socializaço em desenvolvimento cognitivo infantil ajudam a adolescentes a estudar com a sua sociedade, ademais nas efeitos de acción.",Crianças socialmente isoladas têm QI e habilidades de compreensão verbal mais baixas.
Qual área do cérebro é responsável pela compressão...,8.12,4.77,0.125,0.0,0.125,0.5,0.472,0.5,A área do cérebro é responsável emoçes sociais.,O córtex pré-frontal medial.
Quais mudanças durante a transição de infância e a...,3.6,3.58,0.333,0.0,0.167,0.615,0.574,0.5,A transiço de infância e adolescência pode influenciar o desenvolvimento das habilidades sociais e bem-estar psicossocial.,"Mudanças em habilidades cognitivas sociais, como processamento de emoções e desenvolvimento da mentalização."
Quais nós são responsáveis pela mentalização e par...,10.42,2.25,0.278,0.059,0.222,0.429,0.33,0.5,"O comportamento e a inibiço de impulsos nós so responsáveis ao córtex do cerebrum, como a emoción cognitivo, o temporal e temporal.","O nó regulador, principalmente o córtex pré-frontal."
Quais fatores contribuem para o desenvolvimento fu...,4.85,3.03,0.2,0.0,0.133,0.556,0.444,0.5,"O desenvolvimento funcional e estrutural do cérebro social é acadêmica, afetaço de neurônios cognitivos, emoçes sociais.","Dificuldades neurocognitivas, comportamento social e a influência do ambiente."
Quais recursos mentais contribuem para a capacidad...,4.88,2.86,0.25,0.067,0.188,0.7,0.6,0.5,"Os recursos mentais, emoçes cognitivas, envolvem a capacidade de regular o próprio comportamento na contexto sociais.","Percepção social, teoria da mente, processamento das emoções sociais, raciocínio moral."
Quais fatores influenciam o desenvolvimento das ha...,3.57,4.03,0.2,0.0,0.2,0.75,0.708,0.5,Fatores influenciam o desenvolvimento das habilidades de cogniço social em adultos.,"Experiências de vida, educação e cultura."
Quais fatores podem influenciar as mudanças na cog...,4.45,2.24,0.167,0.0,0.167,0.222,0.194,0.5,"Fatores cognitivos emocionais, nvels de envelhecimento.","Fatores fisiológicos, estilo de vida, condições de saúde relacionadas à idade e experiências de vida."
Qual é o papel da cognição social em indivíduos co...,4.02,1.78,0.343,0.121,0.229,0.429,0.364,0.5,O cogniço social ajuda a indivduos com a doença de Alzheimer.,"A cognição social é impactada pelas emoções, o estado de saúde do idoso e outros fatores, afetando suas habilidades cognitivas."
Quais distúrbios podem afetar o desenvolvimento da...,18.0,4.27,0.0,0.0,0.0,0.286,0.243,0.5,O desenvolvimento social é afetado por distrbios emocionais.,"Transtorno do Espectro Autista, Transtorno Bipolar e Esquizofrenia."
Quais são os desafios enfrentados por indivíduos c...,2.8,9.91,0.571,0.35,0.476,0.4,0.343,0.5,Indivduos com esquizofrenia enfrentam disfrutaçes na cogniço social e Teoria da Mente (ToM).,"Os indivíduos com esquizofrenia enfrentam dificuldades na cognição social, Teoria da Mente e no reconhecimento de intenções, emoções e linguagens não literais."
Quais são os impactos de uma capacidade prejudicad...,4.24,14.24,0.429,0.3,0.381,0.625,0.54,0.5,A capacidade prejudicada de ToM pode ajudar o funcionamento social e na sade mental.,"Uma capacidade prejudicada de ToM afeta negativamente o funcionamento social e agrava os sintomas psiquiátricos, levando a dificuldades em regular emoções e a retirada dos relacionamentos."
Quais são os efeitos dos déficits na cognição soci...,8.77,2.28,0.125,0.0,0.125,0.429,0.321,0.5,"Os déficits na cogniço social em indivduos com demência envolvem a desenvolvimento de açes sociais, como a adolescente.",Aprimoram os sintomas psiquiátricos e necessitam de tratamento individualizado.
Quais são as consequências das deficiências na men...,6.03,3.72,0.231,0.0,0.077,0.714,0.607,0.5,"Deficiências na mente e desenvolvimento neurológico no infância, como afetaço de açes cognitivas.",Implicam em desafios no desenvolvimento social e cognitivo.
Quais são as associações entre inteligência e cogn...,1.98,51.22,0.9,0.684,0.75,0.6,0.55,0.5,Associaçes inteligência e cogniço social em crianças com e sem transtornos do espectro autista.,O estudo compara associações na cognição social e inteligência em crianças com e sem transtornos do espectro autista.
Quais aspectos da saúde mental são melhorados na t...,5.67,3.38,0.095,0.0,0.095,0.667,0.606,0.5,Os aspectos da sade mental melhoram na terapia de pacientes com transtorno bipolar.,"Função, qualidade de vida e bem-estar."
Quais são os componentes essenciais de um processo...,6.68,9.87,0.24,0.125,0.2,0.667,0.444,0.5,"Os componentes essenciais de um processo de tomada de deciso so cerebrum, cerebellum, motor cortex, crculo nervoso, limbic system, neurônios, emoçes cognitivas.","O processo de tomada de decisão envolve identificar opções, estimar valores, comparar e escolher para atingir objetivos, minimizando custos de tempo e esforço."
Qual é a base do processo de tomada de decisão (TD...,4.85,7.59,0.333,0.176,0.278,0.4,0.311,0.5,O processo de tomada de deciso (TD) é baseado nas emoçes cognitivas.,"O processo de TD é baseado no conhecimento prévio ou crença, envolvendo fatores cognitivos, percepção do ambiente e análise de possibilidades."
Qual é a diferença entre tomada de decisão impulsi...,4.34,4.71,0.364,0.065,0.303,0.429,0.33,0.5,"O tomada de deciso impulsiva está ajudada às emoçes, enquanto a deliberativa está preparada.","Tomada de decisão impulsiva é rápida, envolvendo atalhos cognitivos, enquanto deliberativa é lenta, ponderando variáveis e riscos."
Quais três sistemas principais são envolvidos na t...,5.53,2.48,0.207,0.0,0.207,0.3,0.265,0.5,O modelo neuroanatômico está envolvido na tomada de deciso.,"Sistema de codificação de estímulo, sistema de seleção de ação e sistema de recompensa esperada."
Qual é a função do córtex orbitofrontal no process...,4.73,8.68,0.429,0.231,0.429,0.429,0.381,0.5,O córtex orbitofrontal funciona a tomada de deciso.,O córtex orbitofrontal é fundamental no sistema de codificação de estímulo durante a fase de análise.
Qual sistema neural interliga regiões cerebrais re...,5.53,7.43,0.409,0.095,0.273,0.667,0.6,0.5,"O systema neural interliga regies cerebrais relacionadas com o prazer e recompensa, influenciando a tomada de deciso.","O sistema de recompensa esperada interliga regiões como amígdala e córtex pré-frontal, influenciando a escolha por recompensas com base no aprendizado do passado."
