Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais biomarcadores são estudados em relação à cog...,1.6,8.3,0.588,0.4,0.588,0.375,0.324,0.5,Os biomarcadores em relaço à cogniço e estresse esto estudados.,Biomarcadores de cognição e estresse.
Quais são as implicações clínicas e tratativas de ...,3.66,3.14,0.235,0.062,0.176,0.5,0.442,0.5,O ADHD e Bipolar Disorder em adultos têm implicaçes clnicas e tratativas diferentes.,"Implicações incluem diagnóstico preciso e estratégias terapêuticas adequadas, considerando a interseção das condições."
"Quais áreas de estudo são abordadas no ""Neurociênc...",3.2,2.42,0.167,0.087,0.167,0.444,0.422,0.5,"Neurociência Cognitiva - Um Guia Neurocientfico para o Pensamento, Neurociência Cognitiva - Um Guia Neurocientfico para o Pensamento, Neurociência Cognitiva - Um Guia Neurocientfico para o Pensamento, Neurociência Cognitiva - Um Guia Neurocientfico para o Pensamento.","Neurociência Cognitiva, neurobiologia, desenvolvimento do cérebro, ciências da idade."
Qual é o estado de estar consciente e como está re...,3.55,5.59,0.4,0.207,0.3,0.667,0.606,0.5,O estado de estar consciente está relacionado com o nvel de alerta de um indivduo.,"O estado de estar consciente é um estado de lucidez e vigília que permite perceber e reagir aos estímulos, sendo um conhecimento de si mesmo e do ambiente, enquanto o nível de consciência está relacionado ao grau de alerta do indivíduo."
Quais são as principais características do nível d...,6.17,2.72,0.138,0.0,0.138,0.5,0.404,0.5,O nvel de consciência segundo o sistema RDOC é adequado em aprender e aprender emoçes emocionais.,Facilita a interação da pessoa com o ambiente adequadamente ao contexto.
Quais são as duas fontes pelas quais o nível de co...,5.04,3.67,0.083,0.0,0.083,0.375,0.324,0.5,O nvel de consciência pode ser modulado pelo neurónio e pelo neurónio.,Estímulos internos (pensamento) e estímulos ambientais (externos).
Quais são as regiões do cérebro responsável pelo e...,22.06,1.16,0.0,0.0,0.0,0.083,0.073,0.5,"Regies do cérebro incluem o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal.",Tronco cerebral e diencéfalo.
Quais estruturas são consideradas significativas p...,7.87,4.11,0.333,0.118,0.222,0.75,0.625,0.5,Os estruturas do córtex frontal e do córtex parietal so consideradas significativas para a activaço cortical e o funcionamento da consciência.,"O SARA, tálamo, córtex parietal e pré-frontal direito."
Qual é o primeiro passo para avaliar o nível de co...,6.94,1.87,0.146,0.0,0.146,0.667,0.583,0.5,O primeiro passo para avaliar o nvel de consciência de um paciente em uma situaço de emergência é evaluar o nvel de consciência.,A avaliação primária e secundária (ABCDE) e a estabilização do paciente.
Qual é o escore mínimo na escala de coma de Glasgo...,3.69,1.24,0.146,0.021,0.125,0.75,0.625,0.5,"O escore mnimo na escala de coma de Glasgow (ECG) para um paciente com consciência é 0, e o escore mnimo na escala de coma de Glasgow (ECG) para uma paciente com consciência é 0, e o escore mnimo na escala de coma de Glasgow (ECG) para uma paciente com consciência é 0, e o escore mnimo na escala de coma de Glasgow (ECG) para uma paciente com consciência é 0, em qualquer caso.","O escore mínimo na ECG é 13, com 3 pontos atribuídos a cada um dos três parâmetros de resposta."
Quais os sinais clínicos observados na avaliação d...,6.37,0.9,0.068,0.0,0.068,0.286,0.243,0.5,"O fundo de olho é avaliado com o avaliaço de avaliaçes de olho, avaliaçes de avaliaçes de olho, avaliaçes de olho, avaliaçes de olho, avaliaçes de olho, avaliaçes de olho, avaliaçes de olho, avaliaçes de olho, avaliaçes de olho.",Sinais de doenças como diabetes e hipertensão intracraniana.
Qual tipo de pupila está associado ao SARA e ao ac...,42.52,2.84,0.095,0.0,0.095,0.8,0.8,0.5,O pupila está associado ao SARA e a acometimento de estruturas anatômicas adjacentes.,Pupila uncal ou do III nervo craniano.
"Qual manobra indica lesão do tronco cerebral, mas ...",10.26,1.51,0.062,0.0,0.062,0.75,0.656,0.5,"O manobra de retorno emocionado indica leso do tronco cerebral, mas no deve ser feito se houver suspeita de leso de coluna cervical.",Manobra oculocefálica; pode agravar um trauma medular associado.
Qual tipo de lesão indica movimentos oculares alte...,7.62,10.68,0.0,0.0,0.0,0.0,0.0,0.5,Lesiones na córtex ocular.,Lesões estruturais infratentoriais.
Quais são os padrões motores observados na pesquis...,7.87,4.32,0.067,0.0,0.067,0.667,0.583,0.5,"Os padres motores observados na pesquisa de reflexos so reflexos emocionais, reflexos emocionais, reflexos emocionais, reflexos emocionais.","Sinergismo postural flexor, sinergismo postural extensor, reflexos com simetria e sinais patológicos."
Qual é a função dos ritmos circadianos em relação ...,5.89,6.22,0.235,0.125,0.235,0.333,0.278,0.5,Os ritmos circadianos so importantes na aprendizagem e na aprendizagem cognitiva.,"Os ritmos circadianos regem as oscilações entre vigília e sono, essenciais para a homeostase e otimização da fisiologia do organismo."
Qual é a distinção entre alterações patológicas da...,5.04,5.75,0.308,0.162,0.256,0.429,0.339,0.5,"Alteraçes patológicas da consciência quantitativas envolvem alteraçes na aprendizagem, emoçes emocionales, emoçes emocionales emocionales.","Alterações quantitativas referem-se ao rebaixamento do nível da consciência, variando de obnubilação a coma."
Quais são as características de um paciente em tor...,5.04,3.76,0.267,0.047,0.222,0.5,0.404,0.5,"Sonolência patológica leve no envolve nenhuma alteraço cognitiva, enquanto torpor envolve nenhuma alteraço cognitiva.","Tormentos apresentam sonolência, reatividade a estímulos intensos e lentidão eletroencefalográfica, enquanto sonolência leve mostra dificuldade de concentração sem sonolência evidente."
Quais são sinais dos movimentos oculares errantes ...,5.41,3.66,0.353,0.125,0.353,0.636,0.61,0.5,Os movimentos oculares errantes e outros reflexos anormais so sinais de movimentos emocionais.,"Movimentos oculares errantes, nistagmo, transtornos do olhar conjugado, anormalidades dos reflexos oculocefálicos, oculovestibular e falta de reflexo de acomodação."
Que é um estado crepuscular no contexto da consciê...,5.41,19.14,0.429,0.2,0.333,0.75,0.562,0.5,O estado crepuscular é um estado em que a consciência está avançada em relaçes com o ambiente.,"Um estado crepuscular é um estado patológico transitório com obnubilação leve da consciência, mas conservação da atividade motora coordenada."
Quais sintomas podem indicar uma crise dissociativ...,13.59,2.52,0.074,0.0,0.074,0.556,0.47,0.5,"A crise dissociativa aguda com caractersticas pseudoepilépticas pode indicar emoçes emocionales, emoçes emocionales emocionales, emoçes emocionales emocionales.","Abalos musculares, convulsões, ansiedade intensa."
Quais são as referências citadas para a estratégia...,51.29,0.92,0.0,0.0,0.0,0.571,0.508,0.5,"Estratégia defensiva inconsciente é uma estratégia defensiva inconsciente em psicopatologia, enquanto a estratégia defensiva consciente é uma estratégia defensiva consciente em psicopatologia.","Dalgalarrondo P., DeMyer WE., Robert B. Doroff, Martins HS, Neto RA, Velasco IT., Lent R., Sadock BJ, Sadock VA, Ruiz P., Plum & Posner."
Quais funções são atribuídas ao núcleo locus coeru...,4.96,3.09,0.261,0.095,0.261,0.429,0.33,0.5,O ncleo locus coeruleus-norepinefrina atribui uma funço de controlo do comportamento emocional.,Melhora o desempenho adaptativo e a função cognitiva.
Qual tópico aborda Berrios e Berlinck em suas obra...,11.44,3.38,0.0,0.0,0.0,0.25,0.196,0.5,"Berrios e Berlinck abordam os temas de neurociência cognitiva, cogniço e sade.","Descriptive psychopathology, psicopatologia fundamental."
Qual região cerebral é fundamental para o desenvol...,6.42,0.35,0.364,0.3,0.364,0.0,0.0,0.5,O córtex pré-frontal.,"Córtex pré-frontal medial, cingulado anterior, giro frontal inferior, sulco temporal, amígdala, hipocampo e ínsula."
Qual é a relação entre cognição social e comportam...,4.96,2.41,0.364,0.129,0.303,0.429,0.364,0.5,Cogniço social e comportamento humano têm uma relaço emocionante.,"A cognição social influencia nossas decisões de comportamento, refletindo
nosmos pensamentos sobre relações sociais e experiências passadas."
Quais são os benefícios da cognição social na vida...,3.96,2.89,0.196,0.041,0.118,0.125,0.104,0.5,"O cogniço social ajuda na aprendizagem, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional e aprendizagem emocional.","Na vida adulta, ajuda na resolução de conflitos e tomada de decisões; no período senil, promove a saúde mental e ajuda a lidar com solidão e desafios emocionais."
Quais mudanças na cognição social ocorrem durante ...,3.99,1.64,0.211,0.0,0.105,0.667,0.633,0.5,Os primeiros anos de vida ocorrem mudanças na cogniço social.,"As crianças desenvolvem uma compreensão avançada dos desejos, pensamentos e emoções dos outros, distinguindo-os de suas próprias sensações corporais."
Qual é o marco de desenvolvimento ao longo do prim...,4.24,4.32,0.258,0.138,0.194,0.909,0.909,0.5,O marco de desenvolvimento a longo do primeiro ano de vida indica a capacidade do bebê de seguir um objeto.,Seguir um objeto em 180 graus aos 2 meses de idade.
Quais são exemplos de marcos úteis para avaliar o ...,6.03,3.01,0.286,0.0,0.214,0.667,0.606,0.5,O desenvolvimento neuropsicomotor e da linguagem so exemplos de marcos teis para avaliar o desenvolvimento cognitivo.,"Desenvolvimento da teoria da mente, empatia, compreensão complexas de emoções."
Quais são os efeitos da socialização em desenvolvi...,8.12,2.05,0.121,0.0,0.061,0.0,0.0,0.5,"O socializaço ajuda na aprendizagem cognitiva, aprendizagem social, aprendizagem emocional, aprendizagem emocional, aprendizagem emocional e aprendizagem emocional.",Crianças socialmente isoladas têm QI e habilidades de compreensão verbal mais baixas.
Qual área do cérebro é responsável pela compressão...,2.37,49.76,0.909,0.889,0.909,0.0,0.0,0.5,O córtex pré-frontal.,O córtex pré-frontal medial.
Quais mudanças durante a transição de infância e a...,3.3,2.26,0.293,0.0,0.244,0.385,0.349,0.5,"O desenvolvimento de habilidades sociais e o bem-estar psicossocial so influenciados pelo desenvolvimento emocionado, o desenvolvimento emocionado, o desenvolvimento emocionado e o desenvolvimento emocionado.","Mudanças em habilidades cognitivas sociais, como processamento de emoções e desenvolvimento da mentalização."
Quais nós são responsáveis pela mentalização e par...,4.62,13.26,0.353,0.25,0.353,0.0,0.0,0.5,"O córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal, o córtex pré-frontal.","O nó regulador, principalmente o córtex pré-frontal."
Quais fatores contribuem para o desenvolvimento fu...,4.21,4.55,0.25,0.067,0.187,0.889,0.808,0.5,"Fatores como a educaço, a educaço e a idade contribuem à desenvolvimento funcional e estrutural do cérebro social em adultos.","Dificuldades neurocognitivas, comportamento social e a influência do ambiente."
Quais recursos mentais contribuem para a capacidad...,4.21,3.04,0.2,0.0,0.133,0.5,0.458,0.5,"Os recursos mentais, como a emoço e a aprendizagem, contribuem a aprendizagem em contextos sociais.","Percepção social, teoria da mente, processamento das emoções sociais, raciocínio moral."
Quais fatores influenciam o desenvolvimento das ha...,2.59,2.55,0.148,0.0,0.148,0.5,0.45,0.5,O desenvolvimento de habilidades de cogniço social influencia o desenvolvimento de habilidades de cogniço social em adultos.,"Experiências de vida, educação e cultura."
Quais fatores podem influenciar as mudanças na cog...,2.68,1.3,0.127,0.0,0.127,0.333,0.274,0.5,"O envelhecimento envolve mudanças na cogniço social, como a diminuiço da capacidade de reconhecimento, a diminuiço da capacidade de reconhecimento, a diminuiço da capacidade de reconhecimento, a diminuiço da capacidade de reconhecimento, a diminuiço da capacidade de reconhecimento.","Fatores fisiológicos, estilo de vida, condições de saúde relacionadas à idade e experiências de vida."
Qual é o papel da cognição social em indivíduos co...,4.31,1.97,0.256,0.108,0.205,0.429,0.364,0.5,Os indivduos com a doença de Alzheimer têm a deficiência na cogniço social.,"A cognição social é impactada pelas emoções, o estado de saúde do idoso e outros fatores, afetando suas habilidades cognitivas."
Quais distúrbios podem afetar o desenvolvimento da...,5.94,5.07,0.0,0.0,0.0,0.0,0.0,0.5,"Distrbios emocionais, emocionais, emocionais, emocionais.","Transtorno do Espectro Autista, Transtorno Bipolar e Esquizofrenia."
Quais são os desafios enfrentados por indivíduos c...,2.29,10.5,0.545,0.286,0.455,0.5,0.429,0.5,Os indivduos com esquizofrenia enfrentam desafios em relaço à cogniço social e Teoria da Mente (ToM).,"Os indivíduos com esquizofrenia enfrentam dificuldades na cognição social, Teoria da Mente e no reconhecimento de intenções, emoções e linguagens não literais."
Quais são os impactos de uma capacidade prejudicad...,3.38,3.89,0.381,0.15,0.333,0.375,0.312,0.5,A capacidade prejudiciada de ToM impair a funço social e a sade mental.,"Uma capacidade prejudicada de ToM afeta negativamente o funcionamento social e agrava os sintomas psiquiátricos, levando a dificuldades em regular emoções e a retirada dos relacionamentos."
