Instrução,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence,Gerado,Referência
Quais circuitos neurais mediam a modulação da aten...,2.39,0.48,0.063,0.021,0.032,0.5,0.345,0.5,"Circuitos limbico, córtex cingulado, córtex pré-frontal e córtex parietal.Quais são os principais mecanismos que regulam a atenção seletiva?Atenção seletiva é regulada por mecanismos de controle consciente e automático, incluindo atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção, atenção,",A amígdala e o córtex cingulado anterior.
Quais áreas cerebrais interagem nos processos de e...,2.76,0.46,0.09,0.052,0.077,0.143,0.083,0.5,"O tálamo, córtex pré-frontal, córtex insular, córtex parietal, córtex temporal, córtex pré-torno, córtex orbitofrontal, córtex temporal anterior, hipocampo, agnôico, e córtex visual.Quais são os efeitos da disfunção da amígdala e do córtex orbitofrontal em relação às emoções?A disfunção da amígdala pode causar ansiedade e depressão, enquanto a disfunção do córtex orbitofrontal pode levar a distúrbios de atenção e comportamento.Qual é a relação entre o córtex orbitofrontal e a tomada de decisão?O córtex orbitofrontal é fundamental para a tomada de decisão, especialmente em situações de risco.Qual é a função do córtex pré-frontal em relação às emoções e a tomada de decisão?O córtex pré","Córtex pré-frontal ventromedial, sistema de recompensa, sistema límbico, amígdala."
Quais regiões do cérebro ajudam a fortalecer a rep...,3.81,0.89,0.061,0.037,0.049,0.333,0.2,0.5,"Córtex pré-frontal, hipocampo e amígdala.Quais habilidades podem ser melhoradas por atividades físicas, especialmente em crianças em idade escolar?Aprimoramento da atenção, processamento de informações, memória, tomada de decisão, memória a longo prazo, habilidades socioemocionais, autoconhecimento, autoconfiança, autoconfiança.Qual é a relação entre atividade física e cognição social em crianças e adolescentes?Atividades físicas ajudam a melhorar a cognição social, habilidades socioemocionais e autoconfiança.Quais são os benefícios de treinar de forma regular para crianças e adolescentes?Aumento da agilidade motora, capacidade de resposta rápida, força muscular, flexibilidade, saúde mental e saúde física.Quais são os benefícios de treinar de forma regular para adultos?Aumento da agilidade motora, capacidade de resposta rápida, força muscular","Córtex visual primário, córtex temporal inferior, hipocampo, córtex órbito-frontal, córtex pré-frontal, lobo parietal."
Quais são as consequências da falta de atividade f...,12.43,0.89,0.135,0.052,0.093,0.667,0.4,0.0,"A falta de atividade física em adultos contribui para doenças crônicas e reduz a longevidade. Em crianças, leva a obesidade, diabetes, doenças cardíacas e condições psiquiátricas.Qual é a relação entre atividade física e doenças crônicas em adultos?A atividade física regular reduz o risco de doenças crônicas como doenças cardíacas, diabetes, hipertensão e doenças psiquiátricas.Como a falta de atividade física afeta a saúde mental em adultos e crianças?A falta de atividade física está relacionada a um aumento no risco de doenças psiquiátricas, incluindo depressão, ansiedade e transtornos do sono.Qual é o impacto da falta de atividade física nas habilidades motoras e cognitivo-emocionais em crianças?A falta de atividade física reduz as habilidades motoras, cognitivo-emocionais, independência e habilidades socioemocionais em crianças.Quais são os benefícios da atividade","Os adultos 74% são sedentários, crianças se tornam mais sedentárias, levando a níveis mais baixos de aptidão, doenças crônicas mais cedo."
Quais mudanças no cérebro são relacionadas à práti...,6.28,0.95,0.188,0.027,0.108,1.0,0.569,0.5,"A prática regular de exercícios físicos leva a mudanças na estrutura e função cerebral, incluindo aumento da massa e atividade neural, especialmente em regiões relacionadas à memória e atenção.Qual é o impacto da prática regular de exercícios físicos na idade avançada?A prática regular de exercícios físicos pode melhorar a função cognitiva em idosos, ajudando a compensar os efeitos da idade no cérebro.Quais são os benefícios da prática regular de exercícios físicos para a saúde mental?A prática regular de exercícios físicos melhora a saúde mental, reduzindo a depressão, ansiedade e estresse, e aumentando a confiança em si mesmo e a autoestima.Quais tipos de exercícios são benéficos para a saúde mental?O treinamento aeróbico, como corrida, ciclismo e natação, é benéfico para a saúde mental.Qual é a importância do monitoramento da atividade física em indivíduos com transtornos mentais?O monitoramento da atividade","Melhoria na plasticidade sináptica, aumento do fluxo sanguíneo cerebral, novas sinapses, fortalecimento das redes neurais, otimização da transmissão de informações, melhorias na atenção e memória. Modulação da atividade de neurotransmissores como a dopamina."
Quais são os benefícios da atividade física regula...,5.68,1.92,0.263,0.057,0.216,0.857,0.486,0.5,"A atividade física regular melhora a função cerebral, ajuda na prevenção de doenças neurodegenerativas, melhora a saúde mental e aumenta a capacidade de aprendizagem.Quais são os principais fatores que influenciam a saúde cerebral na vida adulta?A saúde cerebral é influenciada por fatores ambientais, atividades sociais, adequação nutricional, monitoramento de doenças crônicas, níveis de estresse e exposição a toxinas.Qual é a importância da atividade física regular no desenvolvimento cerebral e na manutenção da saúde mental?A atividade física regular é essencial para o desenvolvimento cerebral e contribui para a saúde mental, prevenindo doenças neurodegenerativas e melhorando a função cognitiva e a capacidade de aprendizagem.Qual é a relação entre o estado mental e a saúde cerebral?O estado mental, incluindo ansiedade, depressão, estresse e níveis de humor, afeta a saúde cerebral, influenciando o desenvolvimento, função e manutenção da saúde cerebral.","Aumenta a disponibilidade de dopamina, melhora a motivação e o entusiasmo para aprender, estimula a liberação de BDNF para crescimento de neurônios, melhora a aprendizagem, o humor, a memória e a atenção, e reduz a inflamação sistêmica e cerebral."
Qual é o benefício da prática regular de atividade...,1.92,2.2,0.151,0.109,0.13,0.9,0.562,0.5,"A prática regular de atividade física pode reduzir os níveis de estresse crônico, melhorar a saúde mental, reduzir o risco de doenças inflamatórias e melhorar o humor geral.Quais são os dois tipos de inflamação e como são afetadas pela atividade física?A inflamação crônica e a inflamação aguda são os dois tipos. A atividade física regular pode diminuir a inflamação crônica e melhorar os resultados na inflamação aguda.Qual é a relação entre o estresse e a inflamação, e como a atividade física afeta isso?O estresse pode levar a inflamação crônica, e a inflamação crônica pode aumentar o estresse. A atividade física regular pode reduzir a inflamação crônica e, portanto, o estresse.Como a atividade física regular contribui para a saúde mental?A atividade física regular ajuda a aliviar o estresse, melhora o humor","O exercício regular pode reduzir o estresse crônico, inflamação e melhorar a função cognitiva."
Que fatores ambientais podem influenciar o neurode...,10.51,0.29,0.048,0.012,0.036,0.0,0.0,0.5,"Ambientes, modelos comportamentais, exposição a neurotoxinas, estresse, privação de oxigênio, falta de sono.Qual é o impacto da privação de oxigênio nos processos de aprendizagem e memória?A privação de oxigênio pode levar a mudanças na aprendizagem e memória, afetando o processo de consolidação de memórias.Qual é a relação entre o estresse crônico e o desenvolvimento do cérebro?O estresse crônico pode afetar o desenvolvimento do cérebro, potencialmente levando a alterações no processo de consolidação de memórias.Como o sono contribui para o processamento de informações?O sono é necessário para o processamento e consolidação de informações, contribuindo para a memória de longo prazo.Qual é a importância do sono na consolidação de memórias?O sono permite a consolidação de memórias, ajudando a transferir informações de curto prazo para longo prazo",Privação sensorial e enriquecimento ambiental.
Quais são os efeitos do enriquecimento ambiental n...,6.96,1.3,0.163,0.025,0.137,0.667,0.378,0.5,"O enriquecimento ambiental melhora a função cerebral, neurogenese, neuroplasticidade e memória.Qual é o impacto do envelhecimento em o desenvolvimento cerebral?O envelhecimento afeta negativamente o desenvolvimento cerebral, resultando em deterioração cognitiva, neuroanatomia, neurobiologia e memória.O que é a neuroplasticidade e como ela está relacionada ao desenvolvimento cerebral?A neuroplasticidade é a capacidade de alteração da estrutura e função cerebral em resposta a estímulos. Ela está relacionada ao desenvolvimento cerebral, permitindo adaptações e aprendizado.Qual é a diferença entre o desenvolvimento cerebral primário e secundário?O desenvolvimento cerebral primário envolve mudanças baseadas em fatores genéticos, enquanto o desenvolvimento cerebral secundário é influenciado por experiências externas e fatores ambientais.","Enriquecimento ambiental melhora plasticidade cerebral, capacidade cognitiva, forma de sinapses, formação de dendríticas, vascularização, neurogênese. Ele aumenta neurotrofinas (NGF, NT-3, BDNF) e altera a ativação de neurônios colinérgicos, serotonina, receptores adrenérgicos."
Quais alterações na estrutura e conectividade neur...,6.82,0.72,0.087,0.025,0.075,0.7,0.428,0.5,"A privação sensorial afeta a estrutura e a conectividade neural, levando a mudanças em regiões cerebrais relacionadas à percepção, emoções, cognição e motor.Qual é o impacto da privação sensória em infantes em suas habilidades socioemocionais e cognitivas?A privação sensória em infantes resulta em dificuldades socioemocionais, emoções e cognição, afetando seu desenvolvimento e habilidades sociais.Quais são as consequências da privação sensorial em infantes em seu desenvolvimento cognitivo e emocional?A privação sensorial em infantes leva a desafios em habilidades socioemocionais, emoções e cognição, impactando o desenvolvimento e habilidades sociais.Qual é a importância de um ambiente rico em estímulos sensoriais para o desenvolvimento das habilidades socioemocionais e cognitivas em infantes?Um ambiente rico em estímulos sensoriais é crucial para o desenvolvimento das habilidades socioemocionais e cognit","Alterações na estrutura e conectividade neuronal, incluindo distúrbios perceptivos, cognitivos e sociais crônicos."
Qual é a importância de estudar o enriquecimento a...,6.78,0.44,0.098,0.0,0.085,0.75,0.448,0.5,"Estudar o enriquecimento ambiental e privação sensorial ajuda a entender o desenvolvimento neural e as adaptações cognitivas.Qual é a diferença entre enriquecimento ambiental e privação sensorial?Enriquecimento ambiental é um aumento da variedade de estímulos sensoriais, enquanto privação sensorial é a ausência de estímulos sensoriais.Quais são os benefícios do enriquecimento ambiental no desenvolvimento neural?O enriquecimento ambiental melhora o desenvolvimento neural, o processamento sensorial e a aprendizagem.O que é privação sensorial e quais são seus efeitos no desenvolvimento neural?Privação sensorial é a ausência de estímulos sensoriais, levando ao desenvolvimento neural inalterado e à dificuldade em adaptar-se a novas situações.Qual é a relação entre privação sensorial e privação emocional?Privação sensorial e privação emocional são independentes, mas ambos podem afetar o desenvolvimento neural.","É essencial para desenvolver terapias que melhorem a saúde e o bem-estar, abordando o impacto no cérebro e comportamento."
Quais alterações moleculares são associadas ao nat...,6.24,1.4,0.149,0.032,0.117,0.714,0.406,0.5,"Aging cerebral envolve alterações moleculares, como a degradação de proteínas, alterações na estrutura do DNA, aumento de oxidação, e o desenvolvimento de proteínas de ligação, como a fibrina.Qual é a relação entre o envelhecimento cerebral e a doença de Alzheimer?O envelhecimento cerebral, especialmente em indivíduos com predisposição genética, é uma causa principal da doença de Alzheimer, caracterizada por demência, perda de memória e declínio cognitivo.Quais são os fatores de risco para o envelhecimento cerebral?Fatores de risco para o envelhecimento cerebral incluem o envelhecimento, predisposição genética, doenças crônicas e condições psiquiátricas.Qual é o impacto do envelhecimento no desenvolvimento e progressão da doença de Alzheimer?O envelhecimento afeta o desenvolvimento e progressão da doença de Alzheimer, influenciando o início dos sintomas, a velocidade de deterioração cognitiva e a severidade da doença.","Senescência neuronal, exaustão de células-tronco neurais, aumento da apoptose, agregação de proteínas, disfunção mitocondrial, acumulação de danos no DNA."
Qual é a faixa percentual de prevalência do declín...,4.85,0.71,0.055,0.0,0.037,0.556,0.356,1.0,"Entre 5% e 7% de indivíduos com mais de 60 anos.Quais são os sinais de um declínio cognitivo?Perda da capacidade de fazer escolhas, mudanças na memória, comportamento, tomada de decisão, problemas de atenção, agnosia, afasia, apraxia, ataxia, demência, problemas de coordenação motora, agnosia, apraxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia, demência, ataxia,",Entre 6.7% e 25.2%.
Qual é a taxa anual de evolução do declínio cognit...,2.87,2.91,0.187,0.083,0.164,0.636,0.383,1.0,"A evolução anual do declínio cognitivo é de 0,5 a 1,0, indicando uma probabilidade de 30% de desenvolver demência em 10 anos.Qual é a importância dos estudos de caso em relação ao declínio cognitivo?Estudos de caso ajudam a entender o impacto do declínio cognitivo nas famílias e sistemas de cuidados.Quais são as duas categorias de demência e seus principais sinais?Alzheimer e demência vascular, com sinais de afetações cognitivas, visuais e motoras.Qual é o papel do ACh na demência?O ACh é crucial para a função cognitiva, com sua redução observada em demências como o Alzheimer.Qual é a relação entre demência vascular e demência de Lewy?A demência vascular pode causar demência de Lewy, enquanto a demência de Lewy pode levar a demência vascular","A taxa anual de evolução do declínio cognitivo é aproximadamente 5-17%, indicando uma alta probabilidade de desenvolvimento da demência."
Quais biomarcadores são utilizados para identifica...,7.49,0.93,0.149,0.058,0.126,0.429,0.243,0.5,"Biomarcadores incluem níveis de beta-amiloide no cérebro, níveis de proteína Tau, e avaliação de capacidades cognitivas.Qual é a importância dos biomarcadores na demência?Os biomarcadores ajudam na classificação de demência, monitoramento da progressão e em avaliação da eficácia dos tratamentos.Como a demência afeta o desenvolvimento de habilidades cognitivas?A demência leva a uma perda progressiva de habilidades cognitivas, afetando o funcionamento mental e a capacidade de realizar atividades diárias.Qual é a relação entre demência e doenças neurológicas?A demência é frequentemente um sintoma de doenças neurológicas, sendo o Alzheimer o tipo mais comum.Qual é o papel do neuropsicólogo na avaliação da demência?O neuropsicólogo é responsável por realizar avaliações neuropsicológicas, neuropsicognômicas, neuropsicognômicas e neurops","Proteínas beta-amiloides, genótipo APOE4, níveis anormais de proteína tau no líquido cefalorraquidiano e depósitos de proteína tau nos lobo lateral temporal."
Quais são os principais sintomas da demência que a...,4.04,0.44,0.085,0.035,0.068,0.333,0.194,0.5,"Problemas de memória, aprendizagem, atenção, agilidade, linguagem, problemas visuoespecíficos, percepção espacial, confusão, apraxia, agnosia, alogia, disonestias, alucinaciones, desorientação, anoses, apraxias, agnosias, ataxias, demencia.Qual é a diferença entre demência e anoses?A anoses são distúrbios da memória aguda, enquanto a demência envolve um processo de deterioração da cognição, incluindo anoses.Quais são os principais fatores de risco para a demência?Fatores de risco incluem idade, diabetes, hipertensão, infecção por HIV, malnutrição, transtornos de sono, tabagismo, infecções por parainfluenza, parainfluenza, parainfluenza, parainfluenza, parainfluenza, parainfluenza, parain","Deterioração da função cognitiva, impacto nas atividades sociais, ocupacionais e domésticas."
Quais são os dois principais grupos de demências m...,3.85,0.97,0.279,0.098,0.17,0.556,0.335,0.5,"Demências de Machado-Juncosa e Demência de Alzheimer. Exames neurológicos servem para avaliar a função cerebral e identificar a demência.Qual é a demência que é a segunda causa de morte em pacientes com SIDA?Demência de AIDS.Quais são as principais causas de demência não afeta demência em adultos em casa?Infarto agudo de miocânquo, tumores, demências degenerativas, envenenamento por medicamentos, demências de transtorno do espectro autista, demências de transtorno do espectro autista, demências de transtorno do espectro autista.Qual é a demência relacionada a distúrbios do espectro autista?Demência de trastorno do espectro autista.Quais são as duas formas de demência não afeta demência?Demência de transtorno do espectro autista",Os dois principais grupos são demências neurodegenerativas (como a Doença de Alzheimer) e não degenerativas. Os exames neurológicos ajudam a avaliar demências e outros distúrbios.
Quais marcadores histológicos são associados com d...,5.48,0.56,0.12,0.0,0.06,0.2,0.111,0.5,"ApoE4, TDP-43, Tau.O que é o TDP-43 e como está relacionado com demências?TDP-43 é um proteína nuclear de ligação e transporte de DNA, presente em neurônios. Ele é associado ao declínio cognitivo, neurodegeneração e demências, especialmente em demências de transtornos genéticos.Qual é a característica de demência de Lewy?Involucra agnosia, demência cognitiva, apraxia, distúrbios do sono, psicosis, ataxia, parkinsonismo, hipotonía, distúrbios do estado de sono e distúrbios do sono.Qual é a demência associada ao transtorno genético de Alzheimer (ATG)?ATG-1, ATG-2, ATG-3, ATG-4, ATG-5, ATG","Acumulação de proteínas, placas neuríticas, infusão intraneuronal, beta-amiloide, TAU, TDP-45, alfa-sinucleína, microtúbulos, MAPT, FUS."
Qual é uma desordem neurotóxica mencionada no text...,14.61,0.4,0.04,0.0,0.027,0.2,0.114,0.5,"Alzheimer's disease.Qual é a relação entre o apraxia e a cognição?O apraxia afeta a capacidade de realizar tarefas, mas não necessariamente a compreensão da tarefa.Qual é a distinção entre apraxia ideomotora e ideodinamia?Apraxia ideomotora envolve dificuldade em realizar ações sem entender o conceito, enquanto apraxia ideodinamia é a dificuldade em executar ações em resposta a um estímulo sem entender o conceito.Qual é o foco do estudo de uma paciente com apraxia ideodinamia?A paciente precisa de estímulo e ajuda para realizar a tarefa.Qual é a diferença entre apraxia ideomotora e ideodinamia?Apraxia ideomotora é a dificuldade em realizar ações sem entender o conceito, enquanto ideodinamia é a dificuldade em executar ações em resposta a um estím","Hipotireoidismo, Desnutrição severa, Uremia crônica, Vitamina B12, Tiamina, Hepatopatias, Poluentes, Paratireoides, Síndromes Metabólicas, Encefalopatia de Wernicke."
Quais são as duas estratégias utilizadas para gere...,11.12,0.27,0.036,0.0,0.036,0.625,0.358,0.5,"Gerenciar o agravo crônico da demência através de intervenção social e médica.Qual é a importância da intervenção social na gestão da demência?A intervenção social ajuda a melhorar o ambiente social, evitar o isolamento, promover a independência e a segurança, e melhorar a qualidade de vida.Qual é a importância da intervenção médica na gestão da demência?A intervenção médica envolve o uso de medicamentos, monitoramento de condições e a gestão de sintomas.Quais são os sinais do agravo crônico da demência?Desordens do pensamento, memórias, comportamento, linguagem, percepção, habilidades motoras, agnosia, apraxia, alogia, cognição social, comportamento e emoções, dificuldades de atenção e julgamento.Qual é o impacto da demência em anos de vida e na economia?A demência afeta o cuidado, o apoio e a qualidade de vida dos indivíduos, result",Tratamentos sintomáticos e intervenções.
Quais fatores podem controlar a transição do MCI p...,5.9,0.38,0.072,0.012,0.072,0.5,0.288,0.5,"Fatores de estilo de vida, predisposição genética, condições neurológicas e fatores ambientais.Quais são as duas categorias de demência?Demência de doença, como demência de Alzheimer, e demência não associada a doença.Qual é a condição caracterizada por perda progressiva do pensamento, memória e habilidades de tomada de decisão?Demência de Alzheimer.Qual é a forma de demência não associada a doença que afeta a memória e habilidades de tomada de decisão?Demência de Lewy.Quais são as condições neurológicas relacionadas com demência não associada a doença?Fratura cerebral, parkinsonismo, demência vascular, demência de Huntington.Qual é a condição caracterizada por uma das duas condições neurológicas mencionadas?Demência de Lewy.Quais são os sintomas da demência de Lewy?At",Identificar fatores controláveis pode ajudar na transição do MCI para a demência.
Qual artigo discute os efeitos da privação ambient...,3.22,5.84,0.151,0.118,0.128,0.8,0.518,0.5,"""Neurotoxicidade da privação ambiental e associações com transtornos psiquiátricos.""Qual é o impacto da privação ambiental na função cerebral e na cognição social?A privação ambiental afeta a função cerebral, o desenvolvimento do cérebro, a cognição social e o sistema imunológico.Quais são os efeitos da privação ambiental nos sistemas imunológico e neuroendócrino?A privação ambiental altera o sistema imunológico e neuroendócrino, influenciando a resposta imunológica e a expressão de genes relacionados com a cognição.Como a privação ambiental afeta a expressão de genes relacionados com a cognição?A privação ambiental influencia a expressão de genes relacionados com a cognição, afetando a resposta imunológica e a função cerebral.Qual é a relação entre a privação ambiental e os transtornos psiquiátricos?A",O artigo de Sahoo et al. (2022) aborda-effects cerebrais da privação ambiental e associações com transtornos psiquiátricos.
